gauge  z   h_max   eta_max 
1.0 54.2341256047 21.7258743953 75.96 
2.0 58.4276281521 30.9123718479 89.34 
3.0 50.6134466119 3.1565533881 53.77 
4.0 48.2226341557 11.4173658443 59.64 
5.0 43.7687624781 1.7912375219 45.56 
6.0 41.4334727669 3.4165272331 44.85 
7.0 41.6128466846 1.2471533154 42.86 
8.0 29.8288818689 4.7811181311 34.61 
9.0 29.8611235588 2.5788764412 32.44 
10.0 29.4325368795 8.6874631205 38.12 
11.0 21.3247771776 4.0452228224 25.37 
12.0 25.8826077584 1.4673922416 27.35 
13.0 21.8582617457 1.7217382543 23.58 
14.0 21.519531444 1.670468556 23.19 
15.0 17.2652580729 2.1047419271 19.37 
16.0 19.4686709719 0.9213290281 20.39 
17.0 15.6099808876 -1.3799808876 14.23 
18.0 38.5065317983 -38.5065317983 0.0 
19.0 12.8151649524 -12.8151649524 0.0 
20.0 7.14280185942 -7.14280185942 0.0 
21.0 43.9985441525 37.9814558475 81.98 
22.0 34.1555987026 19.7044012974 53.86 
23.0 29.9699184206 23.8300815794 53.8 
24.0 28.8907123369 19.4992876631 48.39 
25.0 21.426914575 15.453085425 36.88 
26.0 18.4095115987 7.1304884013 25.54 
27.0 11.6955979792 6.7844020208 18.48 
28.0 5.22102918635 12.2089708136 17.43 
29.0 8.07073000517 4.52926999483 12.6 
